entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
assist_satellite.assist_microphone,,assist_satellite,wyoming,assist microphone,,,Cloud,,
automation.1st_floor_bathroom_ceiling_lights,1st Floor Bathroom - Ceiling Lights,automation,automation,,,,,,
automation.1st_floor_bathroom_motion_lighting,1st Floor Bathroom → Motion Lighting,automation,automation,,,,,,
automation.1st_floor_bathroom_override_auto_reset,1st Floor Bathroom → Override Auto-Reset,automation,automation,,,,,,
automation.2nd_floor_bathroom_motion_lighting,2nd Floor Bathroom → Motion Lighting,automation,automation,,,,,,
automation.2nd_floor_bathroom_night_lighting,2nd Floor Bathroom → Night Lighting,automation,automation,,,,,,
automation.2nd_floor_bathroom_night_lighting_2,2nd Floor Bathroom → Night Lighting,automation,automation,,,,,,
automation.2nd_floor_bathroom_override_auto_reset,2nd Floor Bathroom → Override Auto-Reset,automation,automation,,,,,,
automation.activity_recent_motion_detected,Activity → Recent Motion Detected,automation,automation,,,,,,
automation.adaptive_lighting_off_when_nobody_home_or_late_night,Adaptive Lighting - Off When Nobody Home or Late Night,automation,automation,,,,,,
automation.alaina_gentle_wake_before_alarm,Alaina - Gentle Wake Before Alarm,automation,automation,,,,,,
automation.alaina_lights_auto_off_midnight_fri_sat,Alaina - Lights Auto Off Midnight (Fri/Sat),automation,automation,,,,,,
automation.alaina_lights_off_10_30_pm_school_nights,Alaina - Lights Off 10:30 PM School Nights,automation,automation,,,,,,
automation.alaina_lights_off_when_leaving,Alaina - Lights Off When Leaving,automation,automation,,,,,,
automation.alaina_school_night_bedtime,Alaina - School Night Bedtime,automation,automation,,,,,,
automation.approaching_home_handle_garage_actions,Approaching Home - Handle Garage Actions,automation,automation,,,,,,
automation.approaching_home_john,Approaching Home - John,automation,automation,,,,,,
automation.arrival_adaptive_lighting_welcome,Arrival - Adaptive Lighting Welcome,automation,automation,,,,,,
automation.arrival_alaina_home,Arrival - Alaina Home,automation,automation,,,,,,
automation.arrival_driveway_garage_lights_when_approaching,Arrival - Driveway & Garage Lights When Approaching,automation,automation,,,,,,
automation.arrival_ella_home,Arrival - Ella Home,automation,automation,,,,,,
automation.arrival_handle_notification_actions,Arrival - Handle Notification Actions,automation,automation,,,,,,
automation.arrival_john_home,Arrival - John Home,automation,automation,,,,,,
automation.arrival_michelle_home,Arrival - Michelle Home,automation,automation,,,,,,
automation.back_patio_inovelli_control,Back Patio: Inovelli Control,automation,automation,,,,,,
automation.bathroom_fan_auto_off_rh_60_for_10_min,Bathroom Fan – Auto OFF (RH ≤ 60% for 10 min),automation,automation,,,,,,
automation.bathroom_fan_auto_on_rh_70_for_1_min,Bathroom Fan – Auto ON (RH ≥ 70% for 1 min),automation,automation,,,,,,
automation.bathroom_red_light_11pm_5_30am,Bathroom - Red Light (11pm-5:30am),automation,automation,,,,,,
automation.bedtime_handle_light_actions,Humidity - Handle Notification Actions,automation,automation,,,,,,
automation.bedtime_prompt_to_turn_off_1st_floor_lights,Bedtime - Prompt to Turn Off 1st Floor Lights,automation,automation,,,,,,
automation.calendar_refresh_school_in_session_now,Calendar → Refresh School In Session Now,automation,automation,,,,,,
automation.calendar_refresh_school_tomorrow,Calendar → Refresh School Tomorrow,automation,automation,,,,,,
automation.context_apply_on_occupancy_change,Context → Apply on Occupancy Change,automation,automation,,,,,,
automation.context_apply_on_overlay_change,Context → Apply on Overlay Change,automation,automation,,,,,,
automation.context_apply_on_time_change,Context → Apply on Time Change,automation,automation,,,,,,
automation.critical_battery_immediate_alert,Critical Battery - Immediate Alert,automation,automation,,,,,,
automation.ella_gentle_wake_before_alarm,Ella - Gentle Wake Before Alarm,automation,automation,,,,,,
automation.ella_lights_auto_off_midnight_fri_sat,Ella - Lights Auto Off Midnight (Fri/Sat),automation,automation,,,,,,
automation.ella_lights_off_10_30_pm_school_nights,Ella - Lights Off 10:30 PM School Nights,automation,automation,,,,,,
automation.ella_lights_off_when_leaving,Ella - Lights Off When Leaving,automation,automation,,,,,,
automation.ella_school_night_bedtime,Ella - School Night Bedtime,automation,automation,,,,,,
automation.entry_room_aux_switch_controls,Entry Room - AUX Switch Controls,automation,automation,,,,,,
automation.entry_room_inovelli_ceiling_lights,Entry Room - Inovelli Ceiling Lights,automation,automation,,,,,,
automation.entry_room_lamp_activity_boost,Entry Room Lamp - Activity Boost,automation,automation,,,,,,
automation.entry_room_lamp_adaptive_lux_control,Entry Room Lamp - Adaptive Control,automation,automation,,,,,,
automation.entry_room_lamp_dim_after_15min_no_motion,Entry Room Lamp - Dim After 5min No Motion,automation,automation,,,,,,
automation.entry_room_lamp_hard_off_at_evening_end,Entry Room Lamp - Hard Off at Evening End,automation,automation,,,,,,
