priority,issue_type,entity_id,friendly_name,platform,current_area,recommendation
LOW,Disable unnecessary,light.1st_floor_ap_led,LED,unifi,Kitchen Lounge,Disable in entity settings
INFO,Hue group entity,light.1st_floor_bathroom,,hue,1st Floor Bathroom,Use individual bulbs instead
HIGH,Light missing area,light.1st_floor_bathroom_ceiling_1of2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.1st_floor_bathroom_ceiling_2of2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.1st_floor_moderate_lighting,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.1st_floor_moderate_lighting,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.1st_floor_table_lamps,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.1st_floor_table_lamps,,hue,,Use individual bulbs instead
LOW,Disable unnecessary,light.2nd_floor_ap_led,LED,unifi,Master Bedroom,Disable in entity settings
INFO,Hue group entity,light.2nd_floor_bathroom,,hue,2nd Floor Bathroom,Use individual bulbs instead
LOW,Disable unnecessary,light.40062_hwy_53_ubb_led,LED,unifi,Back Patio,Disable in entity settings
INFO,Hue group entity,light.alaina_s_bedroom,Alaina's Bedside Lamp Hue Color Bulb,hue,Alaina's Bedroom,Use individual bulbs instead
LOW,Disable unnecessary,light.alaina_s_bedroom_echo_glow,Alaina's bedroom Echo Glow,alexa_media,,Disable in entity settings
INFO,Hue group entity,light.back_patio,,hue,Back Patio,Use individual bulbs instead
HIGH,Light missing area,light.back_patio_steps_light,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.basement,,hue,Basement,Use individual bulbs instead
INFO,Hue group entity,light.ella_s_bedroom,,hue,Ella's Bedroom,Use individual bulbs instead
LOW,Disable unnecessary,light.ella_s_bedroom_echo_glow,Ella's Bedroom Echo Glow,alexa_media,,Disable in entity settings
HIGH,Light missing area,light.ella_s_wall_light_bedside_lamp,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.ella_s_wall_light_bedside_lamp,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.entry_kitchen_all_lights,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.entry_kitchen_all_lights,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.entry_rm_ceiling_hue_white_1_2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.entry_rm_ceiling_hue_white_2_2,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.entry_room,,hue,Entry Room,Use individual bulbs instead
HIGH,Light missing area,light.entry_room_hue_color_lamp,Entry Room Hue Color Lamp,hue,,Assign to room in HA UI
INFO,Hue group entity,light.front_driveway,,hue,Front Driveway,Use individual bulbs instead
INFO,Hue group entity,light.garage,,hue,Garage,Use individual bulbs instead
LOW,Disable unnecessary,light.garage_ap_led,LED,unifi,Garage,Disable in entity settings
HIGH,Light missing area,light.hot_tub,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.hot_tub,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.hue_color_candle_1,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_candle_2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_candle_3,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_candle_3_2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_candle_4,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_candle_4_2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_candle_5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_downlight_1_2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_downlight_1_3,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_10,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_11,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_12,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_1_3,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_1_4,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_1_5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_2_3,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_2_4,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_3,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_4,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_6,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.hue_color_lamp_7,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_above_sink_light,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_chandelier,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.kitchen_chandelier,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.kitchen_chandelier_1of5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_chandelier_2of5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_chandelier_3of5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_chandelier_4of5,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_chandelier_5of5,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.kitchen_hue_color_floor_lamp,Kitchen Hue Color Floor Lamp,hue,Kitchen,Use individual bulbs instead
INFO,Hue group entity,light.kitchen_lounge,,hue,Kitchen Lounge,Use individual bulbs instead
HIGH,Light missing area,light.kitchen_lounge_ceiling_1of2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.kitchen_lounge_ceiling_2of2,,hue,,Assign to room in HA UI
HIGH,Light missing area,light.living_rm_lounge_table_lamps,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.living_rm_lounge_table_lamps,,hue,,Use individual bulbs instead
INFO,Hue group entity,light.living_room,,hue,Living Room,Use individual bulbs instead
HIGH,Light missing area,light.living_room_floor_lamps,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.living_room_floor_lamps,,hue,,Use individual bulbs instead
INFO,Hue group entity,light.living_room_lounge,,hue,Sun Room,Use individual bulbs instead
HIGH,Light missing area,light.living_room_lounge_ceiling_light,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.living_room_lounge_ceiling_light,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.living_room_table_lamps,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.living_room_table_lamps,,hue,,Use individual bulbs instead
HIGH,Light missing area,light.living_room_west_floor_lamp,,hue,,Assign to room in HA UI
INFO,Hue group entity,light.master_bedroom,,hue,Master Bedroom,Use individual bulbs instead
LOW,Disable unnecessary,light.master_bedroom_echo_glow,Master Bedroom Echo Glow,alexa_media,,Disable in entity settings
LOW,Disable unnecessary,light.p_f_p_ubb_led,LED,unifi,Back Yard Tower,Disable in entity settings
LOW,Disable unnecessary,light.toy_room_light,Kitchen Lamp,alexa_media,,Disable in entity settings
