device_id,device_name,manufacturer,model,area,via_device,connections,disabled
191744e68a2886825778907a5e0a9340,,,,,,[['mac'; '4a:51:44:9f:3d:1d']],
b38b9663a27656d25b1c271164fe5ad0,,,,,,[['mac'; 'f2:b2:4a:c5:54:e1']],
32d068662776f2653eae9277a719754c,,,,,,[['mac'; '5e:a2:13:eb:b4:a5']],
738691110b404e0f398ee22f2d355b56,Bedroom lighting test,,,Master Bedroom,,[],
3e1e4e896e381e7c593d478250880b2e,Entry Room Ceiling Lights,,,,,[],
82f884ebcee8ee70f61948e2e0950ca5,John-s-Tab-A9,,,,,[['mac'; 'ca:2f:26:e8:59:b7']],
13feda9b4f960f2492b3608341dd3cf6,Kitchen Chandelier,,,Kitchen,,[],
7faf7a09a6cfc7bd643fbcdbe1c2df5f,Living Spaces,,,,,[],
aa8401e688208366c76a4e62fe935c06,Moon,,,,,[],
75bc85a4be5addc92a97ff8934c003f4,Sun,,,,,[],
f46bc0f19570d9227282c8b12b3cb1cb,Watch,,,,,[['mac'; 'a6:e9:5c:14:8f:7a']],
49a950a5105860447ef36ebd24c39cf4,assist microphone,,,Cloud,,[],
460d432c1a6868a2d8d1c0981eee4f4b,Home-Assistant-Matter-Hub (3.0.0-alpha.76),Addons by t0bst4r,Home Assistant Add-on,,,[],
5025881d08308096ae00965e4f3e582a,1st Floor Bathroom Echo Dot,Amazon,Echo Dot (Gen4),,5025881d08308096ae00965e4f3e582a,[],
dac3abef72c880f439f842470f59d3ee,Alaina's Bedroom Echo Show,Amazon,Echo Show 5 (Gen1),,dac3abef72c880f439f842470f59d3ee,[],
c79b407d52d2a4df1bfac85d32ed9e89,Basement Echo,Amazon,Echo (Gen1),,c79b407d52d2a4df1bfac85d32ed9e89,[],
26424536093105d7062c07624cf216bc,Echo Dot extra,Amazon,Echo Dot (Gen3),,26424536093105d7062c07624cf216bc,[],
1c3758af871191e9be4efd731c55dcb6,Echo Dot extra 2,Amazon,Echo Dot (Gen2),,1c3758af871191e9be4efd731c55dcb6,[],
d001287f8e2a77963d150779226e9d4f,Echo Dot extra 4,Amazon,Echo Dot (Gen2),,d001287f8e2a77963d150779226e9d4f,[],
23f51911b86db3d66fd40adbcdd24e7c,Echo extra 3,Amazon,Echo (Gen2),,23f51911b86db3d66fd40adbcdd24e7c,[],
af96a800da2c628cc790d76176b33a1a,Ella's Bedroom Echo Show,Amazon,Echo Show 5 (Gen1),,af96a800da2c628cc790d76176b33a1a,[],
589db44783aacb943759da9bf9da4136,Everywhere,Amazon,Speaker Group,,589db44783aacb943759da9bf9da4136,[],
d82d5bb2334a1c81a8fab09236fc1b63,Living Room Fire TV 192.168.1.17,Amazon,AFTTIFF43 (Fire TV),Living Room,,[['mac'; '44:d5:cc:1f:2e:77']],
88ad1c9a24980a40d3d29c7776ebada7,John's Echo,Amazon,Echo (Gen1),,88ad1c9a24980a40d3d29c7776ebada7,[],
646ad48b42aecdf7c14977d2b8677e12,John's Echo Link,Amazon,Echo Link,,646ad48b42aecdf7c14977d2b8677e12,[],
20d442a2b3e1209c8374c8be3116e607,John's FireTVStick,Amazon,Fire TV Stick,,20d442a2b3e1209c8374c8be3116e607,[],
1ac6f622ba7c0bc5694739a81f6a44c6,John's Sonos Beam,Amazon,Sonos Beam,,1ac6f622ba7c0bc5694739a81f6a44c6,[],
7b853fbe7ec17cb506075c719d0f8a8b,John's WH-1000XM4,Amazon,UNKNOWN A7S41FQ5TWBC9,,7b853fbe7ec17cb506075c719d0f8a8b,[],
5e969d210c6b0a19edfab4c4eb4e32f0,Kitchen,Amazon,Sonos,,5e969d210c6b0a19edfab4c4eb4e32f0,[],
178709548784fb7fbdb5b5a12f01d2ef,Kitchen Echo Show,Amazon,Echo Show 10 (Gen3),,178709548784fb7fbdb5b5a12f01d2ef,[],
c9984d2dc37cbce4175617b9e740eb71,Living Room Echo Show,Amazon,Echo Show 10 (Gen3),,c9984d2dc37cbce4175617b9e740eb71,[],
fdb836b19a6695dae0d0dc9742787514,Living Room TV,Amazon,FIRE_TV A8MCGN45KMHDH,,fdb836b19a6695dae0d0dc9742787514,[],
62a3c5b94c2ae72963ff932a6ad1ba64,Master Bedroom Echo Show,Amazon,Echo Show 5 (Gen1),,62a3c5b94c2ae72963ff932a6ad1ba64,[],
f5f890e89395827a902dc607539788f0,Master Bedroom TV,Amazon,FIRE_TV A33S43L213VSHQ,,f5f890e89395827a902dc607539788f0,[],
6462cef515b6ba41b3e5baa9b0e93185,Upstairs,Amazon,Speaker Group,,6462cef515b6ba41b3e5baa9b0e93185,[],
c7aab061be18ca0292011262c51ab0ec,Upstairs Bathroom Echo Plus,Amazon,Echo Plus (Gen2),,c7aab061be18ca0292011262c51ab0ec,[],
