sheet,priority,category,entity_id,friendly_name,type,platform,manufacturer,area,status,action_needed,notes
Issues,LOW,Disable unnecessary,light.1st_floor_ap_led,LED,Disable,unifi,N/A,Kitchen Lounge,Action Needed,Disable in entity settings,
Issues,INFO,Hue group entity,light.1st_floor_bathroom,,Hue,hue,N/A,1st Floor Bathroom,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.1st_floor_bathroom_ceiling_1of2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.1st_floor_bathroom_ceiling_2of2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.1st_floor_moderate_lighting,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.1st_floor_moderate_lighting,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.1st_floor_table_lamps,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.1st_floor_table_lamps,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,LOW,Disable unnecessary,light.2nd_floor_ap_led,LED,Disable,unifi,N/A,Master Bedroom,Action Needed,Disable in entity settings,
Issues,INFO,Hue group entity,light.2nd_floor_bathroom,,Hue,hue,N/A,2nd Floor Bathroom,Action Needed,Use individual bulbs instead,
Issues,LOW,Disable unnecessary,light.40062_hwy_53_ubb_led,LED,Disable,unifi,N/A,Back Patio,Action Needed,Disable in entity settings,
Issues,INFO,Hue group entity,light.alaina_s_bedroom,Alaina's Bedside Lamp Hue Color Bulb,Hue,hue,N/A,Alaina's Bedroom,Action Needed,Use individual bulbs instead,
Issues,LOW,Disable unnecessary,light.alaina_s_bedroom_echo_glow,Alaina's bedroom Echo Glow,Disable,alexa_media,N/A,,Action Needed,Disable in entity settings,
Issues,INFO,Hue group entity,light.back_patio,,Hue,hue,N/A,Back Patio,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.back_patio_steps_light,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.basement,,Hue,hue,N/A,Basement,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.ella_s_bedroom,,Hue,hue,N/A,Ella's Bedroom,Action Needed,Use individual bulbs instead,
Issues,LOW,Disable unnecessary,light.ella_s_bedroom_echo_glow,Ella's Bedroom Echo Glow,Disable,alexa_media,N/A,,Action Needed,Disable in entity settings,
Issues,HIGH,Light missing area,light.ella_s_wall_light_bedside_lamp,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.ella_s_wall_light_bedside_lamp,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.entry_kitchen_all_lights,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.entry_kitchen_all_lights,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.entry_rm_ceiling_hue_white_1_2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.entry_rm_ceiling_hue_white_2_2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.entry_room,,Hue,hue,N/A,Entry Room,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.entry_room_hue_color_lamp,Entry Room Hue Color Lamp,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.front_driveway,,Hue,hue,N/A,Front Driveway,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.garage,,Hue,hue,N/A,Garage,Action Needed,Use individual bulbs instead,
Issues,LOW,Disable unnecessary,light.garage_ap_led,LED,Disable,unifi,N/A,Garage,Action Needed,Disable in entity settings,
Issues,HIGH,Light missing area,light.hot_tub,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.hot_tub,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.hue_color_candle_1,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_candle_2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_candle_3,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_candle_3_2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_candle_4,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_candle_4_2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_candle_5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_downlight_1_2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_downlight_1_3,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_10,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_11,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_12,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_1_3,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_1_4,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_1_5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_2_3,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_2_4,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_3,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_4,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_6,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.hue_color_lamp_7,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_above_sink_light,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_chandelier,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.kitchen_chandelier,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.kitchen_chandelier_1of5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_chandelier_2of5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_chandelier_3of5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_chandelier_4of5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_chandelier_5of5,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
