entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
binary_sensor.1st_floor_bathroom_hallway_motion,1st Floor Bathroom Hallway Motion,motion,template,,,MISSING,,CRITICAL: NEEDS AREA
binary_sensor.1st_floor_bathroom_motion,1st Floor Bathroom Motion,motion,template,,,MISSING,,CRITICAL: NEEDS AREA
binary_sensor.1st_floor_bathroom_night_light_motion,Motion,motion,zha,Third Reality; Inc,Garage,YES,,
binary_sensor.ai_theta_motion,Motion,motion,unifiprotect,Ubiquiti,,MISSING,,CRITICAL: NEEDS AREA
binary_sensor.alaina_s_bedroomotionaware_area,Alaina's  BedrooMotionAware area,motion,hue,Signify Netherlands B.V.,Alaina's Bedroom,YES,,
binary_sensor.aqara_door_and_window_sensor_door,Door,door,matter,Aqara,Entry Room,YES,,
binary_sensor.aqara_door_and_window_sensor_door_2,Door,door,matter,Aqara,Very Front Door,YES,,
binary_sensor.aqara_door_and_window_sensor_door_3,Door,door,matter,Aqara,Entry Room,YES,,
binary_sensor.aqara_door_and_window_sensor_door_4,Door,door,matter,Aqara,Entry Room,YES,,
binary_sensor.aqara_door_and_window_sensor_door_5,Garage_North_Door_Aqara_Door_Sensor,door,matter,Aqara,Garage,YES,,
binary_sensor.aqara_door_and_window_sensor_door_6,Door,door,matter,Aqara,Garage,YES,,
binary_sensor.aqara_motion_sensor_p1_occupancy,Occupancy,motion,matter,Aqara,Entry Room,YES,,
binary_sensor.aqara_motion_sensor_p1_occupancy_2,Occupancy,motion,matter,Aqara,Upstairs Hallway,YES,,
binary_sensor.aqara_motion_sensor_p1_occupancy_3,Occupancy,motion,matter,Aqara,Kitchen,YES,,
binary_sensor.aqara_motion_sensor_p1_occupancy_6,Occupancy,motion,matter,Aqara,Kitchen,YES,,
binary_sensor.aqara_water_leak_sensor_water_leak,Water leak,water,matter,Aqara,Kitchen,YES,,
binary_sensor.aqara_water_leak_sensor_water_leak_2,Water leak,water,matter,Aqara,Kitchen,YES,,
binary_sensor.aqara_water_leak_sensor_water_leak_3,Water leak,water,matter,Aqara,Kitchen,YES,,
binary_sensor.aqara_water_leak_sensor_water_leak_4,Water leak,water,matter,Aqara,Basement,YES,,
